Prefecture	Municipality	prec_no	block_no	URL	Metric	年間	01	02	03	04	05	06	07	08	09	10	11	12
秋田県	五城目	32	0188	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0188&year=&month=&day=&view=	平年日照時間(時間)	1424.6	36.8	59.3	105.0	155.0	176.4	173.6	146.8	174.5	145.4	127.7	80.4	43.7
秋田県	田沢湖	32	0194	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0194&year=&month=&day=&view=	平年日照時間(時間)	1358.1	41.6	60.2	94.5	137.4	178.2	165.7	136.3	162.3	133.2	125.4	78.6	44.9
秋田県	岩見三内	32	0192	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0192&year=&month=&day=&view=	平年日照時間(時間)	1431.1	40.9	61.6	100.3	147.8	178.3	174.3	143.0	177.5	149.3	130.4	85.5	45.6
秋田県	角館	32	0193	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0193&year=&month=&day=&view=	平年日照時間(時間)	1512.2	50.9	69.1	108.3	155.9	187.9	176.8	149.0	183.4	150.3	135.9	90.7	54.0
秋田県	横手	32	0198	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0198&year=&month=&day=&view=	平年日照時間(時間)	1416.4	32.0	52.6	100.7	157.0	185.8	172.0	146.0	177.7	144.1	130.8	83.5	38.3
秋田県	本荘	32	0196	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0196&year=&month=&day=&view=	平年日照時間(時間)	1532.8	29.2	53.4	118.4	178.6	196.5	179.4	154.7	200.0	161.8	138.5	82.2	40.0
秋田県	鹿角	32	0185	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0185&year=&month=&day=&view=	平年日照時間(時間)	1495.6	52.2	72.0	118.5	158.4	185.3	174.0	147.0	168.2	146.7	132.9	87.6	52.8
秋田県	にかほ	32	0199	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0199&year=&month=&day=&view=	平年日照時間(時間)	1532.1	33.2	56.4	115.3	175.9	196.6	178.8	161.8	199.0	154.5	132.6	80.5	39.7
秋田県	矢島	32	0200	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0200&year=&month=&day=&view=	平年日照時間(時間)	1470.3	27.7	51.0	104.1	172.5	203.3	181.8	154.0	188.8	147.0	127.8	82.5	36.9
秋田県	湯沢	32	0202	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0202&year=&month=&day=&view=	平年日照時間(時間)	1453.4	30.7	49.3	98.7	166.6	194.9	178.0	151.2	180.7	145.3	127.3	87.7	39.8
秋田県	大館	32	0912	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0912&year=&month=&day=&view=	平年日照時間(時間)	1541.5	59.2	82.7	132.0	165.9	185.6	174.9	147.4	176.4	145.9	131.2	91.1	57.9
秋田県	湯の岱	32	0204	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0204&year=&month=&day=&view=	平年日照時間(時間)	1301.7	22.5	41.3	93.7	148.1	183.7	160.2	133.9	164.7	127.1	116.9	75.5	33.9
秋田県	男鹿	32	1036	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1036&year=&month=&day=&view=	平年日照時間(時間)	1648.8	53.0	71.0	129.2	179.2	196.0	185.5	162.8	200.6	164.0	147.5	96.1	60.5
秋田県	八森	32	1043	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1043&year=&month=&day=&view=	平年日照時間(時間)	1472.1	40.3	62.0	116.5	164.3	178.0	175.2	145.4	174.5	158.8	135.4	81.3	44.6
秋田県	大潟	32	1035	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1035&year=&month=&day=&view=	平年日照時間(時間)	1554.3	33.3	56.3	128.2	179.5	190.7	178.9	156.1	190.6	169.7	145.5	85.2	41.6
秋田県	阿仁合	32	1131	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1131&year=&month=&day=&view=	平年日照時間(時間)	1422.9	31.6	52.8	97.8	156.6	188.3	180.9	150.4	171.5	146.7	124.7	75.3	40.0
秋田県	大正寺	32	1050	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1050&year=&month=&day=&view=	平年日照時間(時間)	1464.8	32.6	53.0	106.9	167.3	188.2	177.5	150.2	185.4	150.7	132.3	80.9	39.9
秋田県	東由利	32	1117	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1117&year=&month=&day=&view=	平年日照時間(時間)	1461.1	28.6	45.7	101.9	167.1	194.1	178.1	150.7	187.3	149.9	133.6	84.0	40.0
秋田県	八幡平	32	1289	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1289&year=&month=&day=&view=	平年日照時間(時間)	1338.4	19.6	38.7	88.9	162.6	202.1	178.7	138.1	159.3	134.4	120.5	68.4	27.3
岩手県	二戸	33	0207	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0207&year=&month=&day=&view=	平年日照時間(時間)	1733.4	98.9	111.4	156.8	181.8	198.8	173.1	143.5	160.6	146.2	148.2	117.6	96.5
岩手県	種市	33	0205	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0205&year=&month=&day=&view=	平年日照時間(時間)	1988.7	162.2	152.0	190.0	195.6	199.7	164.4	142.1	153.2	146.7	165.2	156.3	157.2
岩手県	軽米	33	0206	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0206&year=&month=&day=&view=	平年日照時間(時間)	1752.1	113.5	112.2	156.0	178.7	196.6	163.3	136.6	156.1	142.9	148.9	125.5	109.6
岩手県	葛巻	33	0211	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0211&year=&month=&day=&view=	平年日照時間(時間)	1384.6	47.4	66.6	123.1	160.8	182.9	152.1	131.1	139.1	126.3	119.6	82.4	51.6
岩手県	久慈	33	0209	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0209&year=&month=&day=&view=	平年日照時間(時間)	1936.9	163.2	151.4	185.0	190.3	195.4	159.9	137.4	149.8	141.9	154.0	150.0	151.0
岩手県	岩手松尾	33	0214	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0214&year=&month=&day=&view=	平年日照時間(時間)	1515.9	82.7	88.1	139.0	173.7	187.9	152.5	118.3	135.8	128.1	131.4	102.6	75.1
岩手県	岩泉	33	0218	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0218&year=&month=&day=&view=	平年日照時間(時間)	1807.2	134.8	138.7	174.6	186.7	190.7	161.6	132.7	146.1	131.8	143.7	133.6	124.4
岩手県	雫石	33	0221	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0221&year=&month=&day=&view=	平年日照時間(時間)	1531.8	82.6	91.3	132.3	167.0	182.4	162.8	130.1	140.8	121.8	130.5	102.0	80.4
岩手県	大迫	33	0228	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0228&year=&month=&day=&view=	平年日照時間(時間)	1523.7	83.0	104.9	136.5	161.2	172.1	148.3	125.6	148.1	126.7	135.8	105.1	69.7
岩手県	遠野	33	0231	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0231&year=&month=&day=&view=	平年日照時間(時間)	1580.1	99.7	103.3	143.7	169.8	178.6	148.7	127.9	144.7	123.2	130.1	117.8	92.6
岩手県	湯田	33	0229	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0229&year=&month=&day=&view=	平年日照時間(時間)	1383.3	31.2	49.3	102.9	151.7	188.0	165.5	142.4	160.9	138.4	127.0	84.6	38.4
岩手県	釜石	33	0233	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0233&year=&month=&day=&view=	平年日照時間(時間)	1845.7	150.3	150.8	172.2	186.4	188.1	152.3	138.1	156.6	128.4	142.2	142.1	134.2
岩手県	若柳	33	0235	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0235&year=&month=&day=&view=	平年日照時間(時間)	1485.2	74.6	90.8	141.5	171.0	179.3	140.2	119.3	133.0	115.8	127.8	109.7	76.2
岩手県	北上	33	0230	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0230&year=&month=&day=&view=	平年日照時間(時間)	1562.0	90.1	100.5	141.4	172.0	183.6	149.2	128.8	147.5	121.3	131.4	108.2	84.9
岩手県	一関	33	0238	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0238&year=&month=&day=&view=	平年日照時間(時間)	1643.5	115.6	124.4	163.0	178.0	183.8	138.3	117.7	132.6	117.7	131.9	125.5	108.7
岩手県	江刺	33	0236	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0236&year=&month=&day=&view=	平年日照時間(時間)	1630.0	95.9	111.5	155.5	178.8	187.8	154.6	132.0	149.7	126.2	130.5	113.5	89.0
岩手県	千厩	33	0239	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0239&year=&month=&day=&view=	平年日照時間(時間)	1780.7	139.2	143.4	170.4	187.1	188.1	147.9	130.2	144.8	130.4	144.3	135.6	119.2
岩手県	好摩	33	1032	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1032&year=&month=&day=&view=	平年日照時間(時間)	1626.2	91.3	106.0	144.1	166.5	189.9	164.8	137.8	158.6	135.4	132.3	110.5	89.0
岩手県	山田	33	1033	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1033&year=&month=&day=&view=	平年日照時間(時間)	2030.4	174.3	162.2	187.2	199.7	206.5	172.5	153.6	170.6	139.6	152.0	157.6	156.9
岩手県	薮川	33	1078	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1078&year=&month=&day=&view=	平年日照時間(時間)	1392.4	61.0	69.7	107.3	151.0	177.7	150.4	126.8	142.7	122.2	124.2	94.9	64.6
岩手県	紫波	33	1128	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1128&year=&month=&day=&view=	平年日照時間(時間)	1665.1	100.0	111.4	151.4	176.2	191.6	166.9	133.7	155.0	130.3	136.6	117.1	95.1
岩手県	普代	33	1123	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1123&year=&month=&day=&view=	平年日照時間(時間)	1948.8	158.2	157.5	185.7	196.5	198.4	167.2	141.7	155.1	139.2	151.0	151.2	147.1
岩手県	住田	33	1206	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1206&year=&month=&day=&view=	平年日照時間(時間)	1769.2	132.5	130.0	164.4	184.1	187.8	153.6	136.8	152.1	131.6	142.6	138.3	114.4
岩手県	山形	33	1219	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1219&year=&month=&day=&view=	平年日照時間(時間)	1801.9	111.9	121.3	167.7	191.1	207.1	171.8	138.2	157.6	140.1	153.8	131.4	109.9
岩手県	奥中山	33	1215	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1215&year=&month=&day=&view=	平年日照時間(時間)	1516.2	69.0	83.5	129.4	169.8	189.4	157.1	127.8	142.7	130.1	137.7	106.7	69.9
岩手県	荒屋	33	1120	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1120&year=&month=&day=&view=	平年日照時間(時間)	1486.3	62.1	78.4	122.8	167.6	184.6	158.1	124.8	149.6	137.7	137.2	100.2	63.3
岩手県	小本	33	1212	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1212&year=&month=&day=&view=	平年日照時間(時間)	1968.6	163.3	162.6	187.1	197.8	200.5	168.3	146.6	158.6	137.4	153.9	148.5	147.5
岩手県	川井	33	1224	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1224&year=&month=&day=&view=	平年日照時間(時間)	1775.5	122.1	124.8	158.2	183.0	199.0	168.9	148.3	155.0	132.1	141.9	127.0	112.2
岩手県	区界	33	1447	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1447&year=&month=&day=&view=	平年日照時間(時間)	1403.2	64.0	75.1	107.2	146.4	174.3	148.9	121.9	139.8	123.7	132.8	100.0	64.2
宮城県	川渡	34	0243	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=34&block_no=0243&year=&month=&day=&view=	平年日照時間(時間)	1621.7	98.7	114.8	154.5	186.9	190.4	148.2	120.8	131.2	119.8	138.3	126.9	91.2
宮城県	築館	34	0244	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=34&block_no=0244&year=&month=&day=&view=	平年日照時間(時間)	1734.9	138.7	144.2	171.6	186.3	184.9	141.2	115.9	129.9	122.4	139.4	138.5	122.1
宮城県	大衡	34	0248	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=34&block_no=0248&year=&month=&day=&view=	平年日照時間(時間)	1724.8	125.7	147.3	174.6	190.2	188.0	138.2	122.4	133.2	121.1	139.0	128.2	108.8
宮城県	古川	34	0247	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=34&block_no=0247&year=&month=&day=&view=	平年日照時間(時間)	1762.0	130.8	148.7	176.3	190.7	192.3	147.8	124.8	141.3	125.1	137.2	131.7	115.4
宮城県	志津川	34	0246	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=34&block_no=0246&year=&month=&day=&view=	平年日照時間(時間)	1997.1	171.9	171.4	192.3	199.5	199.7	157.9	139.9	161.1	137.9	155.6	158.6	153.4
宮城県	新川	34	0251	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=34&block_no=0251&year=&month=&day=&view=	平年日照時間(時間)	1498.2	99.0	107.0	141.6	174.6	180.0	127.3	109.1	121.4	108.2	124.5	115.9	89.7
宮城県	鹿島台	34	0249	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=34&block_no=0249&year=&month=&day=&view=	平年日照時間(時間)	1848.7	154.7	161.2	184.1	188.8	189.2	146.8	129.2	150.6	130.3	141.5	139.1	133.2
宮城県	気仙沼	34	0242	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=34&block_no=0242&year=&month=&day=&view=	平年日照時間(時間)	1985.1	168.5	162.5	187.1	199.3	197.4	159.5	145.1	162.1	138.6	155.7	158.9	152.5
宮城県	白石	34	0256	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=34&block_no=0256&year=&month=&day=&view=	平年日照時間(時間)	1818.6	142.6	154.7	178.6	193.6	195.2	142.6	123.3	140.6	121.9	141.7	146.8	135.3
宮城県	亘理	34	0257	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=34&block_no=0257&year=&month=&day=&view=	平年日照時間(時間)	1881.1	153.2	158.2	183.4	190.6	190.1	146.0	132.9	155.9	131.2	144.9	145.5	146.4
宮城県	米山	34	1029	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=34&block_no=1029&year=&month=&day=&view=	平年日照時間(時間)	1871.6	149.4	158.7	177.1	189.6	195.9	158.1	141.3	156.3	131.5	139.8	137.5	136.5
宮城県	駒ノ湯	34	1126	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=34&block_no=1126&year=&month=&day=&view=	平年日照時間(時間)	1401.0	82.0	88.7	128.9	168.1	178.3	127.4	100.6	111.3	100.2	122.9	113.5	80.3
宮城県	塩釜	34	1030	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=34&block_no=1030&year=&month=&day=&view=	平年日照時間(時間)	1871.3	153.5	161.1	182.4	193.1	190.1	145.3	134.9	149.8	135.0	144.8	143.3	133.2
